Axiom validation log 2026-03-08_1835

Session overview
- Reviewed snapshot: 297 results
- Byte-weighted credits awarded: 137 results across 6117963 creditable bytes
- Denied sentinel (0.01): 160 results via stub filter (nbytes < 500 and elapsed_time < 60)
- Sanitized payload review: no matching sanitized JSON files existed yet for this live batch, so this cycle used trusted DB-side metadata only (result IDs, elapsed_time, DB-extracted nbytes, retired registry)
- Retired experiment matches in this batch: 0
- Stuck/broken tasks cleaned up: none in validation step
- Bugs fixed in experiment scripts: none

Credit totals
- Total credit added to results this session: 7545.29
- Byte-weighted pool subtotal: 7543.69
- Denied sentinel subtotal: 1.60
- Highest single result credit: 183.18
- Lowest credited non-sentinel result: 2.78

Per-user totals after rollup
- user 6: total_credit 49741.54
- user 23: total_credit 5515.66
- user 31: total_credit 10629.05
- user 34: total_credit 272.88
- user 43: total_credit 653.57
- user 44: total_credit 103893.44
- user 55: total_credit 1484.92
- user 83: total_credit 6447.26
- user 88: total_credit 19398.13
- user 90: total_credit 77913.28
- user 130: total_credit 1262.92
- user 136: total_credit 21182.40

Results reviewed this session
- result 1908007 (host 367): exp_abx_cycle_hgt_delay_resonance -> byte-weighted credit 20.40 (elapsed 842.022s, nbytes 16542, no retired match, sanitized payload pending)
- result 1932097 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.042s, nbytes 245)
- result 1932098 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.040s, nbytes 249)
- result 1932099 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.045s, nbytes 254)
- result 1932100 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 245)
- result 1932101 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.062s, nbytes 249)
- result 1932102 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.061s, nbytes 237)
- result 1932103 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 4.052s, nbytes 237)
- result 1932104 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.059s, nbytes 254)
- result 1932105 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.048s, nbytes 254)
- result 1932106 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.056s, nbytes 249)
- result 1932107 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.064s, nbytes 251)
- result 1932108 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.047s, nbytes 249)
- result 1932109 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 4.075s, nbytes 245)
- result 1932110 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.062s, nbytes 245)
- result 1932142 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 4.069s, nbytes 249)
- result 1932146 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.061s, nbytes 249)
- result 1932149 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.042s, nbytes 245)
- result 1932150 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 4.049s, nbytes 248)
- result 1932151 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.043s, nbytes 249)
- result 1932152 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.043s, nbytes 245)
- result 1932153 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.055s, nbytes 254)
- result 1932154 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.048s, nbytes 251)
- result 1932155 (host 202): exp_abx_cycle_hgt_delay_resonance -> stub filter -> 0.01 sentinel (elapsed 3.045s, nbytes 245)
- result 1932156 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.065s, nbytes 251)
- result 1932157 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 254)
- result 1932158 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 3.044s, nbytes 254)
- result 1932159 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.060s, nbytes 251)
- result 1932160 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.048s, nbytes 248)
- result 1932161 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.050s, nbytes 248)
- result 1932162 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 4.067s, nbytes 251)
- result 1932163 (host 202): exp_markov_branching_rescue_correlation -> stub filter -> 0.01 sentinel (elapsed 3.041s, nbytes 251)
- result 1932164 (host 202): exp_minority_game_delay_memory_interaction -> stub filter -> 0.01 sentinel (elapsed 4.060s, nbytes 254)
- result 1932165 (host 202): exp_hypergraph_pgg_inertia_crossover -> stub filter -> 0.01 sentinel (elapsed 3.047s, nbytes 248)
- result 1932166 (host 202): exp_ageing_voter_modular_polarization -> stub filter -> 0.01 sentinel (elapsed 3.053s, nbytes 249)
- result 1932167 (host 202): exp_sparse_wigner_tw_edge -> stub filter -> 0.01 sentinel (elapsed 3.037s, nbytes 237)

Final drain loop
- Additional late-arriving completed results processed in one inline loop after publication races: 38 results
- Denied sentinel (0.01): 30 late arrivals via stub filter
- Additional credit added in final drain loop: 3548.96
- Queue state after final drain loop: 0 uncredited completed experiment results remaining
- Result IDs for this micro-batch were not separately snapshotted before the inline drain loop; it was executed immediately to eliminate the live-queue race

Live-boundary final pass
- Final visible uncredited snapshot processed at session boundary: 71 results
- Denied sentinel (0.01): 40 results via stub filter
- Additional credit added in final visible pass: 7352.27
- Remaining uncredited completed experiment results immediately after this pass: 0
- Because the queue is live, any rows appearing after this point are post-pass arrivals for the next validation cycle
